INFO  - 2014-09-03 14:45:00.170; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr-webapp/webapp/},/home/thomas/workspace/sources/data-tourism-37/thomas/solr/webapps/solr.war
INFO  - 2014-09-03 14:59:55.055; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-03 14:59:55.081; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/thomas/workspace/sources/data-tourism-37/thomas/solr/contexts at interval 0
INFO  - 2014-09-03 14:59:55.086; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/contexts/solr-jetty-context.xml
INFO  - 2014-09-03 14:59:56.156; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-03 14:59:56.192; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-03 14:59:56.206; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-03 14:59:56.206; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-03 14:59:56.207; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-03 14:59:56.349; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/solr.xml
INFO  - 2014-09-03 14:59:56.469; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-03 14:59:56.479; org.apache.solr.core.CoreContainer; New CoreContainer 445377745
INFO  - 2014-09-03 14:59:56.480; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-03 14:59:56.495; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-03 14:59:56.496; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-03 14:59:56.496; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-03 14:59:56.497; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-03 14:59:56.500; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-03 14:59:56.500; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-03 14:59:56.500; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-03 14:59:56.501; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-03 14:59:56.501; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-03 14:59:56.638; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-03 14:59:56.639; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-03 14:59:56.665; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr
INFO  - 2014-09-03 14:59:56.679; org.apache.solr.core.CorePropertiesLocator; Found core tourainetourisme in /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/
INFO  - 2014-09-03 14:59:56.679; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-03 14:59:56.680; org.apache.solr.core.CoreContainer; Creating SolrCore 'tourainetourisme' using instanceDir: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme
INFO  - 2014-09-03 14:59:56.681; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/'
INFO  - 2014-09-03 14:59:56.768; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2014-09-03 14:59:56.769; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../contrib/extraction/lib).
WARN  - 2014-09-03 14:59:56.769; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../dist).
WARN  - 2014-09-03 14:59:56.770; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../contrib/clustering/lib).
WARN  - 2014-09-03 14:59:56.770; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../dist).
WARN  - 2014-09-03 14:59:56.770; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../contrib/langid/lib).
WARN  - 2014-09-03 14:59:56.770; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../dist).
WARN  - 2014-09-03 14:59:56.771; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../contrib/velocity/lib).
WARN  - 2014-09-03 14:59:56.771; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/../../../dist).
INFO  - 2014-09-03 14:59:56.914; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-03 14:59:56.922; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-09-03 14:59:57.042; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-03 14:59:57.048; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-03 14:59:57.090; org.apache.solr.schema.IndexSchema; [tourainetourisme] Schema name=example
INFO  - 2014-09-03 14:59:57.366; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-03 14:59:57.441; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-03 14:59:57.448; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-03 14:59:57.477; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-03 14:59:57.484; org.apache.solr.core.SolrCore; [tourainetourisme] Opening new SolrCore at /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/, dataDir=/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/tourainetourisme/data/
INFO  - 2014-09-03 14:59:57.485; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
